code,name,category
IL-D,HaDarom,subdivision
IL-M,HaMerkaz,subdivision
IL-Z,HaTsafon,subdivision
IL-HA,H̱efa,subdivision
IL-TA,Tel-Aviv,subdivision
IL-JM,Yerushalayim,subdivision
